"OTUs";"taxa";"Aldex.kw.0.05";"Log_ratio.max";"Log_ratio.max2";"glmnet_sign.no0.CAU";"glmnet_sign.no0.CYM";"glmnet_sign.ext.CAU";"glmnet_sign.ext.CYM"
"OTU16";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.__.__";0;1;0;0;1;0;1
"OTU17";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidetes_VC2.1_Bac22.f__Bacteroidetes_VC2.1_Bac22.g__Bacteroidetes_VC2.1_Bac22.__";0;0;0;0;1;0;0
"OTU18";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Thiotrichaceae.g__uncultured.s__uncultured_sediment";0;1;0;1;0;0;1
"OTU19";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae.g__uncultured.__";0;1;0;0;1;0;1
"OTU20";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Robiginitalea.s__uncultured_bacterium";0;1;0;1;0;1;0
"OTU21";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Zeaxanthinibacter.s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU22";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__Desulfatitalea.s__uncultured_Desulfobacteraceae";0;1;1;0;1;0;1
"OTU23";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Lentimicrobiaceae.g__Lentimicrobiaceae.__";0;1;0;0;1;1;0
"OTU24";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.__.__.__";0;1;0;0;1;0;1
"OTU25";"d__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__Heimdallarchaeia.f__Heimdallarchaeia.g__Heimdallarchaeia.s__uncultured_archaeon";0;1;0;0;1;0;0
"OTU26";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__SBR1031.f__SBR1031.g__SBR1031.s__uncultured_organism";0;1;0;0;1;0;0
"OTU27";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Ulvibacter.s__Aureitalea_sp.";0;1;0;0;0;1;0
"OTU28";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Candidatus_Thiobios.s__uncultured_sediment";0;1;0;0;1;0;0
"OTU29";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Milano.WF1B.44.f__Milano.WF1B.44.g__Milano.WF1B.44.s__uncultured_gamma";0;1;0;0;1;1;0
"OTU30";"d__Bacteria.p__Bacteroidota.c__Ignavibacteria.o__Ignavibacteriales.f__PHOS.HE36.g__PHOS.HE36.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU31";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Ectothiorhodospirales.__.__.__";0;1;0;1;0;0;0
"OTU32";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__uncultured.__";0;1;0;0;1;0;1
"OTU33";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidetes_VC2.1_Bac22.f__Bacteroidetes_VC2.1_Bac22.g__Bacteroidetes_VC2.1_Bac22.s__uncultured_Bacteroidetes";0;1;0;0;1;0;0
"OTU34";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Maribacter.__";0;1;0;0;0;1;0
"OTU35";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__LCP.80.s__uncultured_delta";0;1;1;0;1;0;0
"OTU36";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Steroidobacterales.f__Woeseiaceae.g__Woeseia.__";0;1;0;1;0;0;0
"OTU37";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__KI89A_clade.f__KI89A_clade.g__KI89A_clade.__";0;1;0;0;1;0;0
"OTU38";"Unassigned.__.__.__.__.__.__";0;1;1;1;0;1;0
"OTU39";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Lentimicrobiaceae.g__Lentimicrobiaceae.s__uncultured_Bacteroidetes";0;1;0;0;1;0;0
"OTU40";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae.g__Pelolinea.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU41";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__B2M28.f__B2M28.g__B2M28.__";0;1;0;1;0;0;0
"OTU42";"d__Bacteria.p__Myxococcota.c__Polyangia.o__Polyangiales.f__Sandaracinaceae.g__uncultured.__";0;1;0;1;0;1;0
"OTU43";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__uncultured.f__uncultured.g__uncultured.s__uncultured_Thioalkalivibrio";0;1;0;0;1;1;0
"OTU44";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__SEEP.SRB1.__";0;1;0;0;1;0;1
"OTU45";"d__Bacteria.p__Desulfobacterota.c__Desulfobulbia.o__Desulfobulbales.f__Desulfocapsaceae.__.__";0;1;0;0;1;0;0
"OTU46";"d__Bacteria.p__Bacteroidota.c__Ignavibacteria.o__Ignavibacteriales.f__Ignavibacteriaceae.g__Ignavibacterium.__";0;1;0;0;0;0;0
"OTU47";"d__Archaea.p__Nanoarchaeota.c__Nanoarchaeia.o__Woesearchaeales.f__SCGC_AAA011.D5.g__SCGC_AAA011.D5.s__uncultured_euryarchaeote";0;1;0;0;1;0;0
"OTU48";"d__Bacteria.p__Patescibacteria.c__Parcubacteria.__.__.__.__";0;0;0;0;0;0;0
"OTU49";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Sedimenticolaceae.g__Candidatus_Thiodiazotropha.s__Candidatus_Thiodiazotropha";0;1;0;0;1;1;0
"OTU50";"d__Bacteria.p__Sva0485.c__Sva0485.o__Sva0485.f__Sva0485.g__Sva0485.__";0;1;0;0;1;0;1
"OTU51";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidetes_BD2.2.g__Bacteroidetes_BD2.2.s__uncultured_Bacteroidetes.Chlorobi";0;0;0;0;0;0;0
"OTU52";"d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__uncultured.g__uncultured.__";0;1;0;1;0;1;0
"OTU53";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__uncultured.f__uncultured.g__uncultured.__";0;1;0;0;1;0;0
"OTU54";"d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Ilumatobacteraceae.g__Ilumatobacter.__";0;1;0;1;0;1;0
"OTU55";"d__Bacteria.p__Calditrichota.c__Calditrichia.o__Calditrichales.f__Calditrichaceae.g__Caldithrix.s__uncultured_bacterium";0;1;0;1;0;0;0
"OTU56";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Arenicellales.f__Arenicellaceae.g__uncultured.__";0;1;0;0;1;1;0
"OTU57";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Eudoraea.__";0;1;0;1;0;1;0
"OTU58";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Fulvivirga.s__uncultured_Bacteroidetes";0;1;0;0;0;0;0
"OTU59";"d__Bacteria.p__Latescibacterota.c__Latescibacterota.o__Latescibacterota.f__Latescibacterota.g__Latescibacterota.s__bacterium_enrichment";0;0;0;0;0;0;0
"OTU60";"d__Bacteria.p__Calditrichota.c__Calditrichia.o__Calditrichales.f__Calditrichaceae.g__Calditrichaceae.s__uncultured_bacterium";0;1;0;1;0;1;0
"OTU61";"d__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Chloroplast.f__Chloroplast.g__Chloroplast.__";0;1;0;0;0;0;0
"OTU62";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.__.__";0;1;0;1;0;0;0
"OTU63";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Sedimenticolaceae.g__Candidatus_Thiodiazotropha.__";0;0;0;0;0;0;0
"OTU64";"d__Eukaryota.__.__.__.__.__.__";0;1;0;0;1;0;0
"OTU65";"d__Bacteria.p__Calditrichota.c__Calditrichia.o__Calditrichales.f__Calditrichaceae.g__Calditrichaceae.__";0;1;0;0;0;0;0
"OTU66";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__uncultured.s__uncultured_sediment";0;1;0;0;0;1;0
"OTU67";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Thiotrichaceae.g__Cocleimonas.__";0;0;0;0;0;0;0
"OTU68";"d__Archaea.p__Crenarchaeota.c__Bathyarchaeia.o__Bathyarchaeia.f__Bathyarchaeia.g__Bathyarchaeia.s__uncultured_archaeon";0;0;0;0;0;0;0
"OTU69";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Sedimenticolaceae.__.__";0;1;0;0;1;0;0
"OTU70";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.__.__.__";0;1;0;0;1;0;0
"OTU71";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Robiginitalea.__";0;1;0;1;0;0;0
"OTU72";"d__Bacteria.p__Calditrichota.c__Calditrichia.o__Calditrichales.f__Calditrichaceae.g__Calorithrix.s__uncultured_bacterium";0;1;0;1;0;0;0
"OTU73";"d__Bacteria.p__Bacteroidota.c__Kryptonia.o__Kryptoniales.f__BSV26.g__BSV26.__";0;1;0;0;1;0;1
"OTU74";"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Arcobacteraceae.g__uncultured.__";0;0;0;0;1;0;0
"OTU75";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae.g__ADurb.Bin120.s__uncultured_bacterium";0;1;0;0;0;0;1
"OTU76";"d__Archaea.p__Nanoarchaeota.c__Nanoarchaeia.o__Woesearchaeales.f__Woesearchaeales.g__Woesearchaeales.__";0;1;0;0;0;1;0
"OTU77";"d__Archaea.p__Thermoplasmatota.c__Thermoplasmata.o__uncultured.f__uncultured.g__uncultured.s__uncultured_Thermoplasmatales";0;1;0;0;1;0;0
"OTU78";"d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__Spirochaeta.__";0;0;0;0;1;0;0
"OTU79";"d__Bacteria.p__Acidobacteriota.c__Subgroup_21.o__Subgroup_21.f__Subgroup_21.g__Subgroup_21.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU80";"d__Bacteria.__.__.__.__.__.__";0;1;0;0;1;0;1
"OTU81";"d__Bacteria.p__Latescibacterota.c__Latescibacterota.o__Latescibacterota.f__Latescibacterota.g__Latescibacterota.s__uncultured_bacterium";0;1;0;1;0;1;0
"OTU82";"d__Bacteria.p__Calditrichota.c__Calditrichia.o__Calditrichales.f__Calditrichaceae.g__Caldithrix.s__uncultured_delta";0;1;0;0;1;0;0
"OTU83";"d__Bacteria.p__SAR324_clade.Marine_group_B..c__SAR324_clade.Marine_group_B..o__SAR324_clade.Marine_group_B..f__SAR324_clade.Marine_group_B..g__SAR324_clade.Marine_group_B..__";0;1;0;0;1;0;0
"OTU84";"d__Bacteria.p__Latescibacterota.c__Latescibacteria.o__Latescibacterales.f__Latescibacteraceae.g__Latescibacteraceae.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU85";"d__Bacteria.p__Chloroflexi.__.__.__.__.__";0;1;0;0;1;0;0
"OTU86";"d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__uncultured.__";0;1;0;0;0;0;1
"OTU87";"d__Bacteria.p__Acidobacteriota.c__Aminicenantia.o__Aminicenantales.f__Aminicenantales.g__Aminicenantales.__";0;0;0;0;1;0;1
"OTU88";"d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__Spirochaeta_2.__";0;1;1;0;1;0;0
"OTU89";"d__Bacteria.p__Cloacimonadota.c__Cloacimonadia.o__Cloacimonadales.f__MSBL8.g__MSBL8.s__uncultured_Spirochaetaceae";0;0;0;0;0;0;0
"OTU90";"d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.__.__";0;0;0;0;0;0;0
"OTU91";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__SB.5.g__SB.5.__";0;0;0;0;0;0;0
"OTU92";"d__Bacteria.p__Marinimicrobia_.SAR406_clade..c__Marinimicrobia_.SAR406_clade..o__Marinimicrobia_.SAR406_clade..f__Marinimicrobia_.SAR406_clade..g__Marinimicrobia_.SAR406_clade..s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU93";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Ectothiorhodospirales.f__Ectothiorhodospiraceae.g__Thiogranum.__";0;0;0;0;0;0;0
"OTU94";"d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__Spirochaeta.s__uncultured_bacterium";0;1;0;0;1;0;1
"OTU95";"d__Bacteria.p__Cloacimonadota.c__Cloacimonadia.o__Cloacimonadales.f__MSBL8.g__MSBL8.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU96";"d__Archaea.p__Crenarchaeota.c__Bathyarchaeia.o__Bathyarchaeia.f__Bathyarchaeia.g__Bathyarchaeia.s__uncultured_eukaryote";0;0;0;0;0;0;0
"OTU97";"d__Bacteria.p__Patescibacteria.c__Parcubacteria.o__Candidatus_Moranbacteria.f__Candidatus_Moranbacteria.g__Candidatus_Moranbacteria.s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU98";"d__Bacteria.p__Acetothermia.c__Acetothermiia.o__Acetothermiia.f__Acetothermiia.g__Acetothermiia.__";0;1;1;0;1;0;0
"OTU99";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfococcaceae.g__uncultured.__";0;1;0;0;0;0;0
"OTU100";"d__Bacteria.p__Patescibacteria.c__Parcubacteria.o__Candidatus_Yanofskybacteria.f__Candidatus_Yanofskybacteria.g__Candidatus_Yanofskybacteria.__";0;1;0;0;0;0;0
"OTU101";"d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Blastopirellula.__";0;0;0;0;0;0;0
"OTU102";"d__Bacteria.p__Bacteroidota.c__Ignavibacteria.o__Ignavibacteriales.f__Melioribacteraceae.g__IheB3.7.s__uncultured_Chlorobi";0;1;0;0;1;1;0
"OTU103";"d__Bacteria.p__Acidobacteriota.c__Thermoanaerobaculia.o__Thermoanaerobaculales.f__Thermoanaerobaculaceae.g__Subgroup_23.__";0;1;0;0;0;1;0
"OTU104";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.__.__";0;1;0;0;1;0;0
"OTU105";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Halochromatium.__";0;1;0;1;0;0;0
"OTU106";"d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadales.g__Saccharimonadales.s__uncultured_bacterium";0;1;0;0;0;1;0
"OTU107";"d__Bacteria.p__Actinobacteriota.c__WCHB1.81.o__WCHB1.81.f__WCHB1.81.g__WCHB1.81.__";0;1;0;0;0;0;0
"OTU108";"d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__GWE2.31.10.__";0;1;0;0;1;0;0
"OTU109";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__LCP.80.__";0;1;0;0;0;0;0
"OTU110";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Candidatus_Thiobios.s__uncultured_bacterium";0;1;0;0;0;0;1
"OTU111";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Ardenticatenales.f__uncultured.g__uncultured.__";0;1;0;1;0;0;1
"OTU112";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.__.__.__";0;0;0;0;0;0;0
"OTU113";"d__Archaea.p__Altiarchaeota.c__Altiarchaeia.o__Altiarchaeales.f__Altiarchaeaceae.g__Candidatus_Altiarchaeum.s__uncultured_archaeon";0;1;0;0;1;0;0
"OTU114";"d__Eukaryota.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Sclerotiniaceae.g__Scleromitrula.s__Scleromitrula_shiraiana";0;0;0;0;0;0;0
"OTU115";"d__Eukaryota.p__Ascomycota.__.__.__.__.__";0;0;0;0;0;0;0
"OTU116";"d__Bacteria.p__Zixibacteria.c__Zixibacteria.o__Zixibacteria.f__Zixibacteria.g__Zixibacteria.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU117";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidetes_BD2.2.g__Bacteroidetes_BD2.2.s__uncultured_Bacteroidetes";0;0;0;0;0;0;0
"OTU118";"d__Archaea.p__Thermoplasmatota.c__Thermoplasmata.o__Marine_Benthic_Group_D_and_DHVEG.1.f__Marine_Benthic_Group_D_and_DHVEG.1.g__Marine_Benthic_Group_D_and_DHVEG.1.s__uncultured_archaeon";0;1;0;0;1;0;1
"OTU119";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinilabiliaceae.g__uncultured.s__uncultured_Bacteroidetes";0;1;0;0;1;0;0
"OTU120";"d__Bacteria.p__Desulfobacterota.c__Desulfobulbia.o__Desulfobulbales.f__Desulfobulbaceae.g__Desulfobulbus.__";0;1;0;0;1;0;0
"OTU121";"d__Bacteria.p__Verrucomicrobiota.c__Kiritimatiellae.o__Kiritimatiellales.f__Kiritimatiellaceae.g__MSBL3.s__uncultured_organism";0;0;0;0;0;0;0
"OTU122";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinilabiliaceae.g__uncultured.__";0;1;0;1;0;0;0
"OTU123";"d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Pir4_lineage.__";0;1;1;0;1;0;0
"OTU124";"d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__GWE2.31.10.s__uncultured_gamma";0;1;0;0;1;0;0
"OTU125";"d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Ilumatobacteraceae.g__Ilumatobacter.s__Ilumatobacter_nonamiensis";0;1;0;0;0;1;0
"OTU126";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae.g__uncultured.__";0;0;0;0;0;0;0
"OTU127";"d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__Spirochaeta.s__uncultured_Spirochaeta";0;1;0;0;0;0;0
"OTU128";"d__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Microcystaceae.__.__";0;0;0;0;0;0;0
"OTU129";"d__Bacteria.p__Nitrospirota.c__Thermodesulfovibrionia.o__uncultured.f__uncultured.g__uncultured.__";0;0;0;0;0;0;0
"OTU130";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_III.g__Clade_III.__";0;1;0;0;1;0;0
"OTU131";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__SBR1031.f__SBR1031.g__SBR1031.s__uncultured_bacterium";0;0;0;0;0;0;1
"OTU132";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__BD7.8.f__BD7.8.g__BD7.8.__";0;1;0;0;1;0;0
"OTU133";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfatiglandales.f__Desulfatiglandaceae.g__Desulfatiglans.__";0;1;0;0;1;0;1
"OTU134";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Ardenticatenales.f__uncultured.g__uncultured.s__uncultured_organism";0;0;0;0;0;0;0
"OTU135";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_I.g__Clade_Ia.__";0;1;0;1;0;0;0
"OTU136";"d__Bacteria.p__Patescibacteria.c__Parcubacteria.o__Candidatus_Kaiserbacteria.f__Candidatus_Kaiserbacteria.g__Candidatus_Kaiserbacteria.s__uncultured_bacterium";0;1;0;0;1;1;0
"OTU137";"d__Archaea.p__Thermoplasmatota.c__Thermoplasmata.o__Marine_Benthic_Group_D_and_DHVEG.1.f__Marine_Benthic_Group_D_and_DHVEG.1.g__Marine_Benthic_Group_D_and_DHVEG.1.__";0;1;0;0;0;0;0
"OTU138";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfobacteraceae.__.__";0;0;0;0;0;0;0
"OTU139";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Micavibrionales.f__Micavibrionaceae.g__uncultured.s__uncultured_bacterium";0;1;0;1;0;0;0
"OTU140";"d__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Cyanobacteriaceae.__.__";0;1;0;0;1;0;0
"OTU141";"d__Bacteria.p__Bdellovibrionota.c__Oligoflexia.o__0319.6G20.f__0319.6G20.g__0319.6G20.__";0;1;0;0;0;0;0
"OTU142";"d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__uncultured.__";0;1;0;0;0;0;0
"OTU143";"d__Archaea.p__Crenarchaeota.c__Bathyarchaeia.o__Bathyarchaeia.f__Bathyarchaeia.g__Bathyarchaeia.__";0;0;0;0;0;0;0
"OTU144";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Aquibacter.__";0;1;0;0;1;0;0
"OTU145";"d__Bacteria.p__Gemmatimonadota.c__BD2.11_terrestrial_group.o__BD2.11_terrestrial_group.f__BD2.11_terrestrial_group.g__BD2.11_terrestrial_group.__";0;0;0;0;0;0;0
"OTU146";"d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__GWE2.31.10.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU147";"d__Bacteria.p__Nitrospirota.c__Thermodesulfovibrionia.o__uncultured.f__uncultured.g__uncultured.s__uncultured_Nitrospirae";0;1;0;0;1;0;0
"OTU148";"d__Bacteria.p__Verrucomicrobiota.c__Kiritimatiellae.o__Kiritimatiellales.f__Kiritimatiellaceae.g__R76.B128.__";0;1;0;0;1;0;0
"OTU149";"d__Bacteria.p__Acidobacteriota.c__Subgroup_18.o__Subgroup_18.f__Subgroup_18.g__Subgroup_18.__";0;1;0;1;0;0;1
"OTU150";"d__Archaea.__.__.__.__.__.__";0;1;0;0;1;0;0
"OTU151";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__SJA.15.f__SJA.15.g__SJA.15.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU152";"d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Pedosphaerales.f__Pedosphaeraceae.g__DEV008.s__uncultured_bacterium";0;1;0;1;0;0;0
"OTU153";"d__Archaea.p__Thermoplasmatota.c__Thermoplasmata.o__uncultured.f__uncultured.g__uncultured.s__uncultured_archaeon";0;1;0;0;1;0;0
"OTU154";"d__Bacteria.p__Calditrichota.c__Calditrichia.o__Calditrichales.f__Calditrichaceae.g__Calditrichaceae.s__uncultured_Deferribacteres";0;0;0;0;0;0;0
"OTU155";"d__Bacteria.p__Bacteroidota.c__Ignavibacteria.o__Ignavibacteriales.f__Melioribacteraceae.g__IheB3.7.s__uncultured_sediment";0;1;0;1;0;0;0
"OTU156";"d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__Spirochaeta_2.s__uncultured_bacterium";0;1;0;0;1;0;1
